timestep,real_time,h,goal_error,dist,cost_history,conflict,t_mppi,t_cbf,t_robot,intervention_magnitude,q_0,q_1,q_2,q_3,q_4,q_5,q_6,u_mppi_0,u_mppi_1,u_mppi_2,u_mppi_3,u_mppi_4,u_mppi_5,u_mppi_6,u_safe_0,u_safe_1,u_safe_2,u_safe_3,u_safe_4,u_safe_5,u_safe_6
0,0.3811434189992724,0.14391926119374224,0.5560504672809696,0.24391926119374224,0.00015328943504028475,0,0.32371384300131467,0.001551271001517307,0.05019822000031127,3.164933098023271e-11,0.0002200762861454108,-0.7850284490551013,0.000283133220793513,-2.3560504672809697,0.0010741525943519029,1.5721995453562894,0.7844902038642239,0.0071194586791940235,-0.7761350739596613,0.003118298232476681,-2.3454160008069525,0.0017559565138711133,1.5713814806065203,0.7795699245533216,0.007119458666915204,-0.7761350739752801,0.0031182982237924982,-2.345416000788474,0.0017559565033780696,1.5713814805975928,0.7795699245527868
1,0.7192372999998042,0.14377347335689958,0.5558617723477963,0.24377347335689958,0.003512154740975624,0,0.28273350299969024,0.0014037450000614626,0.0507631250002305,3.750149521943275e-07,0.0005701552213344314,-0.7846909377327509,0.0005272807256445096,-2.3558617723477964,0.001042474494789649,1.5721627354151886,0.7843807232878779,0.02040188827649296,-0.7617058819532168,0.006003263268093641,-2.3299630777690643,0.004909268137089217,1.573430364363276,0.7695658476398698,0.020402002297182413,-0.7617057113371354,0.006003339187248081,-2.3299633567777853,0.0049093615533992475,1.5734304426755374,0.7695658551663466
2,1.0333751409998513,0.14247358367547017,0.5457495367706666,0.24247358367547017,0.003174273333559718,0,0.2590840559987555,0.0014675010006612865,0.0501961019999726,2.113878946745223e-08,0.0074734155805057795,-0.7758684972548362,0.003277485893748503,-2.3457495367706667,0.0019067427824639436,1.5721881009974126,0.779297078245849,0.04697774719242348,-0.7281201439673401,0.02376606899278621,-2.288468238226444,0.013170727985201011,1.5730911651804276,0.7522052039047811,0.04697775350902763,-0.7281201344681738,0.02376607346589929,-2.2884682539090218,0.013170733345113055,1.573091169827519,0.7522052045670992
3,1.3120087779989262,0.14000403889740928,0.5299132973838796,0.2400040388974093,0.0026905131635251373,0,0.22308612399865524,0.0013598789992101956,0.050198576998809585,0.002677978675599668,0.02110668169386104,-0.7611660483433369,0.006359693502413855,-2.3299132973838796,0.0047279742513845185,1.5731496624853003,0.7688903753258448,0.0920118904893778,-0.6766131840437677,0.04618107608931862,-2.228767129194892,0.022728197348145476,1.5782250092687582,0.7206721542291048,0.09113738360235835,-0.677932325625839,0.04560519793980353,-2.2269283144294203,0.021984031077257823,1.577593429265589,0.7206386750708635
4,1.6102614979990904,0.13791638416137705,0.5015346865687536,0.23791638416137706,0.00247100671010864,0,0.2427915119988029,0.001226805999976932,0.050172740000562044,0.0057910564886295805,0.03758082380658013,-0.7396202073161462,0.01660032950313152,-2.3015346865687536,0.009150724837456693,1.573204395789014,0.7585125916754067,0.14411994897709282,-0.6104290048002492,0.07309233770722276,-2.1572783625133494,0.039115835999524146,1.579023260314405,0.6822063599739712,0.14241918047828697,-0.6132839431003575,0.07197528250461158,-2.1531134310193534,0.037608300110097186,1.5777496299468856,0.6821448488025882
5,1.8578614389989525,0.13485584838479506,0.4625818500696617,0.23485584838479506,0.0020392390068791227,0,0.19047482200039667,0.0013914450009906432,0.05025057600141736,4.525448211445261e-11,0.06383091264928906,-0.7083513714854751,0.029704083885597976,-2.2625818500696617,0.014485070825383379,1.5746876585941798,0.7406269867832027,0.19960934969667618,-0.5435029965956248,0.10058491690481544,-2.0756614836670577,0.049817769152637914,1.584312208497343,0.6428147084048147,0.19960934968585295,-0.5435029966175245,0.10058491689772993,-2.0756614836321754,0.049817769142260084,1.5843122084886005,0.6428147084044736
6,2.063536674999341,0.13207069525657097,0.43005912531653645,0.23207069525657098,0.0016968751376016497,0,0.15184625100118865,0.0009665509987826226,0.050198439001178485,5.3021027222883745e-12,0.08630730668107352,-0.6804727146298241,0.04118553484327554,-2.2300591253165365,0.020339382884270858,1.5754871675960438,0.7243270032417851,0.25714021864921066,-0.47355588078255323,0.12661887799323893,-1.996977151637798,0.06507334182256247,1.5904458581155407,0.6044326518050429,0.2571402186484554,-0.4735558807846038,0.12661887799274246,-1.9969771516331094,0.06507334182175903,1.590445858114862,0.6044326518050241
7,2.2456167679993086,0.12993462932925473,0.4031079234073347,0.22993462932925474,0.0013601768229127812,0,0.12543829300011566,0.0013890000009268988,0.05019736400026886,4.620568604948579e-12,0.10558535627100547,-0.6566482196049658,0.05078956844542607,-2.2031079234073347,0.0248820044955242,1.576801460522052,0.7108623102241682,0.30920431981354146,-0.40828554633475195,0.15473769563722978,-1.9271087570889687,0.07805052173101817,1.593973438267914,0.5639808674198893,0.30920431981306107,-0.4082855463364309,0.1547376956369035,-1.9271087570847727,0.07805052173043324,1.5939734382674189,0.5639808674198822
8,2.401686721999795,0.12853080354737625,0.3791816497017708,0.22853080354737626,0.0011254193145426529,0,0.10198757699981797,0.0011361229990143329,0.05020026700003655,1.4145809821343718e-06,0.12285012756572089,-0.6356148568004978,0.059167202527786934,-2.179181649701771,0.029210786458182772,1.578152178418798,0.6989134341256868,0.35251279104587546,-0.35689285174084173,0.1778608911638284,-1.8686658321377991,0.08708467736761401,1.5927502175473554,0.5348253102691702,0.3525128893131673,-0.35689238276635893,0.17786096201170465,-1.8686671477039172,0.08708482155764763,1.592750339700581,0.5348253101278403
9,2.5306936999986647,0.12756057802755874,0.35867652977465103,0.22756057802755875,0.0007101903112612091,0,0.07421565600088798,0.0013474570005200803,0.050200677000248106,4.169308507967081e-12,0.13768196409639166,-0.6173860260157451,0.06665744784048795,-2.158676529774651,0.032835841401512314,1.5791927056943496,0.6883451818521291,0.3781013242701645,-0.3207538768376311,0.18892045082520534,-1.825250011044429,0.09578678573888255,1.5993082080153114,0.5136690612367253,0.3781013242699651,-0.320753876838991,0.18892045082504427,-1.8252500110405283,0.09578678573849903,1.5993082080149859,0.5136690612367315
10,2.9267576080001163,0.12680261908126153,0.33330556600896855,0.22680261908126154,0.003782441119411088,0,0.27534295600162295,0.001419539999915287,0.05019776799963438,0.0058150444733595565,0.15598752535298774,-0.5947615190592612,0.07582041428041601,-2.1333055660089686,0.03740857375203057,1.5804685216386194,0.6752778332147581,0.1560999936765467,-0.596354490651684,0.07415479129799614,-2.138442235430997,0.038789539657029484,1.579966231083031,0.6764976722867527,0.15594213659949369,-0.5988676084944768,0.07395582035096636,-2.1332757556103727,0.03812965811477656,1.5794133552819054,0.6765267171254602
