timestep,real_time,h,goal_error,dist,cost_history,conflict,t_mppi,t_cbf,t_robot,intervention_magnitude,q_0,q_1,q_2,q_3,q_4,q_5,q_6,u_mppi_0,u_mppi_1,u_mppi_2,u_mppi_3,u_mppi_4,u_mppi_5,u_mppi_6,u_safe_0,u_safe_1,u_safe_2,u_safe_3,u_safe_4,u_safe_5,u_safe_6
0,0.3295138470002712,0.14391836104229064,0.5567799910495157,0.24391836104229064,0.00015328943504028475,0,0.27229471799910243,0.001557276000312413,0.05020104100003664,1.2037553073573832e-10,0.0002342666729928579,-0.7852388317304743,-0.0003852467219245956,-2.3567799910495157,-0.0008174898202230952,1.572227754613141,0.7850807926740359,0.0071194586791940235,-0.7761350739596613,0.003118298232476681,-2.3454160008069525,0.0017559565138711133,1.5713814806065203,0.7795699245533216,0.007119458725959001,-0.7761350739003205,0.00311829826543253,-2.345416000877291,0.0017559565537805617,1.5713814806404534,0.779569924555367
1,0.6611385800006246,0.14381554655076415,0.5563682030520345,0.24381554655076415,0.0035121547409756263,0,0.2763715309993131,0.0014130229992588283,0.05035742700056289,3.1135179511731564e-07,0.0005473290343941378,-0.7848594370619869,-4.413271886255316e-05,-2.3563682030520345,-0.0007255546010937641,1.5722061939814367,0.7846970907157238,0.02040188827649296,-0.7617058819532168,0.0060032632680936445,-2.3299630777690643,0.004909268137089218,1.573430364363276,0.7695658476398698,0.02040198345511961,-0.7617057403040411,0.006003326435910694,-2.3299633090066565,0.004909346013387989,1.5734304295602053,0.7695658539743598
2,0.9601010599999427,0.14250057285716541,0.5458586507185983,0.24250057285716542,0.003174273333559719,0,0.24362898399886035,0.0015235660011967411,0.050407077998897876,1.1595731205142862e-08,0.007499587108768679,-0.7758639030410158,0.0029755250285026214,-2.3458586507185983,0.00113105408386585,1.5722131568050202,0.779322935572363,0.04697774719242348,-0.7281201439673401,0.02376606899278621,-2.288468238226444,0.013170727985201015,1.5730911651804276,0.7522052039047811,0.04697775071772833,-0.7281201387804965,0.02376607158164968,-2.2884682467039865,0.01317073101786638,1.5730911678542983,0.7522052043655129
3,1.2518002550004894,0.1400599005859344,0.5299979848624579,0.2400599005859344,0.0026905131635251395,0,0.2379422659996635,0.0009886170009849593,0.050207141999635496,0.002681023386549405,0.02105621169160445,-0.761202088798354,0.006013921237453739,-2.329997984862458,0.004099645640248445,1.5730452334247442,0.7690482182665372,0.0920118904893778,-0.6766131840437677,0.04618107608931862,-2.228767129194892,0.02272819734814548,1.5782250092687582,0.7206721542291048,0.09113448677341487,-0.6779329813899521,0.0456042311092529,-2.2269271095552843,0.02198207248414222,1.5775926115297965,0.7206385021066336
4,1.504116628000702,0.1379228948662564,0.49894966014818354,0.2379228948662564,0.0024710067101086416,0,0.19706149699959497,0.0013998450012877584,0.050196277001305134,0.005544584438270762,0.03873476349103837,-0.7378682102943842,0.017158737983537346,-2.2989496601481836,0.009049136160212261,1.5730889849694087,0.7578770293505714,0.14411994897709282,-0.6104290048002493,0.07309233770722276,-2.1572783625133494,0.039115835999524146,1.579023260314405,0.6822063599739712,0.1425032995869654,-0.613158405364348,0.07203210567152615,-2.153275395092019,0.03767844597608912,1.5778141631257754,0.6821481563105118
5,1.7274595750004664,0.13520458530138854,0.4658884123751912,0.23520458530138855,0.002039239006879124,0,0.1681411069985188,0.0015554729998257244,0.050272761000087485,3.808909039669679e-10,0.06122291289161457,-0.7111507399903625,0.028327970969039988,-2.2658884123751912,0.01379661362437202,1.5744080083870449,0.7424571676365885,0.19960934969667618,-0.5435029965956248,0.10058491690481544,-2.0756614836670577,0.049817769152637914,1.584312208497343,0.6428147084048147,0.19960934979253228,-0.5435029964073979,0.10058491696757951,-2.075661483954031,0.049817769243701036,1.5843122085739276,0.642814708407899
6,1.9271882270004426,0.13253962891817153,0.43669316587590923,0.23253962891817154,0.0016968751376016515,0,0.14469034600006125,0.0014801130000705598,0.05020026199963468,5.143849574915791e-12,0.08153652126733482,-0.6860121051291964,0.03871677478123173,-2.2366931658759093,0.019116497029960496,1.575147204276386,0.727858467311239,0.25714021864921066,-0.47355588078255323,0.12661887799323893,-1.996977151637798,0.06507334182256248,1.5904458581155407,0.6044326518050429,0.25714021864843467,-0.47355588078456173,0.126618877992732,-1.9969771516332748,0.06507334182175817,1.5904458581148635,0.6044326518050226
7,2.1020832440008235,0.13048845261726802,0.4103976108108107,0.23048845261726802,0.0013601768229127805,0,0.12012072800098395,0.0013374490008573048,0.0502444989997457,1.6390677099894717e-06,0.10031361703148568,-0.6631246319671891,0.04807818467342364,-2.2103976108108108,0.023663400154140823,1.5764156305959303,0.7147200573931108,0.30920431981354146,-0.408285546334752,0.15473769563722972,-1.9271087570889687,0.07805052173101817,1.593973438267914,0.5639808674198893,0.30920449690608776,-0.40828496121844593,0.15473781428639416,-1.927110248889336,0.07805072837177736,1.5939736130923883,0.563980870603643
8,2.2505902360007894,0.1289272855925028,0.38749329862864834,0.2289272855925028,0.0011254193145426529,0,0.09373084900107642,0.0013469620007526828,0.0501955010004167,1.412534567247007e-06,0.11684176940117456,-0.6427953944060943,0.05603261861533488,-2.1874932986286484,0.02775728256582828,1.5777248540222617,0.7032076124583213,0.35251279104587546,-0.35689285174084173,0.17786089116382836,-1.8686658321377991,0.087084677367614,1.5927502175473554,0.5348253102691702,0.35251290339551605,-0.35689237359954534,0.17786096989571515,-1.8686671389724354,0.08708482997515635,1.5927503468045785,0.53482531089711
9,2.378191309000613,0.12776677899856206,0.3681864675499671,0.22776677899856207,0.0007101903112612093,0,0.07267478900030255,0.0009937920003721956,0.050243656000020565,3.9458177920021605e-12,0.1309694212853858,-0.6254202615143382,0.0631857074648697,-2.168186467549967,0.031195806337661617,1.5786472283952444,0.6932180077578466,0.3781013242701645,-0.3207538768376311,0.18892045082520534,-1.825250011044429,0.09578678573888255,1.5993082080153114,0.5136690612367253,0.37810132426993065,-0.32075387683895074,0.18892045082502795,-1.8252500110407575,0.09578678573849297,1.5993082080149794,0.5136690612367286
