timestep,real_time,h,goal_error,dist,cost_history,conflict,t_mppi,t_cbf,t_robot,intervention_magnitude,q_0,q_1,q_2,q_3,q_4,q_5,q_6,u_mppi_0,u_mppi_1,u_mppi_2,u_mppi_3,u_mppi_4,u_mppi_5,u_mppi_6,u_safe_0,u_safe_1,u_safe_2,u_safe_3,u_safe_4,u_safe_5,u_safe_6
0,0.27314184099941485,0.14401102537530083,0.5559999999999998,0.24401102537530084,0.00015328943504028475,0,0.2672556369998347,0.0018165839992434485,0.000597180999648117,3.450707765627754e-10,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785,0.0071194586791940235,-0.7761350739596613,0.003118298232476681,-2.3454160008069525,0.0017559565138711133,1.5713814806065203,0.7795699245533216,0.007119458543434715,-0.7761350741297255,0.00311829813580192,-2.3454160006099367,0.0017559563972646026,1.5713814805068875,0.7795699245472841
1,0.5654266589999679,0.1425953648633447,0.5542700744751101,0.2425953648633447,0.0035121547409756254,0,0.28694765599993843,0.0015275199993993738,0.000607923999268678,5.3329234899999644e-11,0.0027716438228585533,-0.7812387687688891,0.0012356366790956294,-2.35427007447511,0.0005560908780240977,1.5707019052283242,0.7828654943598725,0.02040188827649296,-0.7617058819532168,0.006003263268093641,-2.3299630777690643,0.004909268137089216,1.573430364363276,0.7695658476398698,0.020401888254192223,-0.7617058819792095,0.006003263251446155,-2.329963077742601,0.004909268117357141,1.573430364345867,0.7695658476387824
2,0.8357469269994908,0.14068045420595884,0.5472171568599584,0.24068045420595885,0.0031742733335597185,0,0.2650890889999573,0.001520243999948434,0.0005965810005363892,3.8709532874010156e-07,0.009701184165133873,-0.7731709962808883,0.003138661140752127,-2.3472171568599585,0.00213197656256828,1.571301802602027,0.7772024337908449,0.04697774719242348,-0.7281201439673401,0.023766068992786202,-2.288468238226444,0.013170727985201011,1.5730911651804276,0.7522052039047811,0.04697786066013623,-0.7281199666486607,0.023766144871774603,-2.288468528257064,0.013170822326754223,1.5730912469409513,0.7522052119957845
3,1.078193414999987,0.13752839255564855,0.5265518076779816,0.23752839255564856,0.0026905131635251377,0,0.2370063680000385,0.0015217770005619968,0.000605424000241328,2.666423982477563e-09,0.024581340325215827,-0.7548956559343343,0.011122674918151604,-2.3265518076779816,0.006318163939467248,1.5715136742111173,0.7673088312768988,0.0920118904893778,-0.6766131840437677,0.04618107608931862,-2.228767129194892,0.022728197348145476,1.5782250092687582,0.7206721542291048,0.09201189133398865,-0.6766131829054414,0.046181076885339775,-2.2287671309614105,0.022728198159685204,1.5782250100670856,0.7206721544538311
4,1.2959704069999134,0.13281746066947728,0.490377781197499,0.23281746066947728,0.0024710067101086407,0,0.2124276300000929,0.0015259359997799038,0.0006016610004735412,5.146338815025632e-08,0.051118062033230334,-0.7234434045011906,0.024788543828402305,-2.290377781197499,0.012697620978459733,1.5735300242658246,0.7491713046355323,0.14411994897709282,-0.6104290048002493,0.07309233770722277,-2.1572783625133494,0.039115835999524146,1.579023260314405,0.6822063599739712,0.14411996108782082,-0.6104289825960223,0.07309234735299419,-2.1572784033307286,0.03911584745535771,1.5790232711157237,0.6822063613077348
5,1.4895770069997525,0.12694192590663197,0.44034974161498686,0.22694192590663198,0.0020392390068791227,0,0.18815034199997172,0.00163716499992006,0.0006254190002437099,1.6887045837969102e-11,0.08795524627903811,-0.678484592352261,0.04380746220151258,-2.240349741614987,0.022895102085767574,1.575251556360883,0.7226086408280802,0.19960934969667618,-0.5435029965956248,0.10058491690481544,-2.0756614836670577,0.04981776915263791,1.584312208497343,0.6428147084048147,0.19960934969371757,-0.5435029966035682,0.10058491690281054,-2.075661483653277,0.04981776914945649,1.584312208494298,0.642814708404738
6,1.6645914929995342,0.1231884029738726,0.37808255173122896,0.2231884029738726,0.001696875137601649,0,0.16880351899999368,0.0015682499997637933,0.000665517000015825,4.3886843600139046e-12,0.13219857967245294,-0.6244313836470261,0.06622464362871945,-2.178082551731229,0.033352367365022936,1.5783192043814949,0.69116340824664,0.25714021864921066,-0.47355588078255323,0.12661887799323893,-1.996977151637798,0.06507334182256247,1.5904458581155407,0.6044326518050429,0.2571402186489956,-0.47355588078395966,0.12661887799306304,-1.9969771516336856,0.06507334182218032,1.5904458581151577,0.6044326518050464
7,1.815317247999701,0.12246335401105232,0.30899141653819595,0.22246335401105233,0.0013601768229127805,0,0.1453547190003519,0.0015002120007920894,0.000642400999822712,5.473746427157671e-12,0.1817413139097488,-0.5639626692355586,0.09018090673120009,-2.108991416538196,0.04569955876554995,1.5825842742733667,0.6569335859709161,0.30920431981354146,-0.40828554633475195,0.15473769563722978,-1.9271087570889687,0.07805052173101817,1.593973438267914,0.5639808674198893,0.3092043198136919,-0.40828554633631864,0.1547376956372272,-1.92710875708374,0.078050521730756,1.593973438267639,0.56398086741992
8,1.9398787989994162,0.12529972861668762,0.2392338317004874,0.22529972861668762,0.0011254193145426522,0,0.11919055799990019,0.0015335670004787971,0.0006113110002843314,9.54127459165614e-12,0.23245013680402477,-0.501167413465716,0.11588871541738592,-2.0392338317004874,0.05830058376366838,1.5867587616861751,0.6202920115365755,0.35251279104587546,-0.35689285174084173,0.17786089116382836,-1.8686658321377991,0.087084677367614,1.5927502175473554,0.5348253102691702,0.35251279104714367,-0.3568928517433426,0.17786089116430046,-1.8686658321286924,0.08708467736759697,1.592750217547306,0.5348253102692938
9,2.0306127169997126,0.13231147313381122,0.17409489973872527,0.23231147313381123,0.0007101903112612091,0,0.08509760699962499,0.0014547410000886885,0.000629646000561479,5.619017814132854e-12,0.280209466804009,-0.4425071636965631,0.14080959084125266,-1.9740948997387253,0.06969873399644197,1.5887755556120202,0.5860160843084168,0.3781013242701645,-0.3207538768376311,0.18892045082520534,-1.825250011044429,0.09578678573888255,1.5993082080153114,0.5136690612367253,0.37810132427113236,-0.32075387683851864,0.1889204508256096,-1.825250011038989,0.09578678573909595,1.5993082080155152,0.5136690612368044
