timestep,real_time,h,goal_error,dist,cost_history,conflict,q_0,q_1,q_2,q_3,q_4,q_5,q_6,u_mppi_0,u_mppi_1,u_mppi_2,u_mppi_3,u_mppi_4,u_mppi_5,u_mppi_6,u_safe_0,u_safe_1,u_safe_2,u_safe_3,u_safe_4,u_safe_5,u_safe_6
0,1.144248497999797,0.14394678671629932,0.5559731834143917,0.24394678671629932,0.00015355668795144126,0,0.000178336151583496,-0.7850169976303646,0.00026243309922887025,-2.3559731834143918,0.0009924950256613287,1.5718790951157677,0.784529295355968,0.007420475653201776,-0.7761597183980327,0.0035205197338201676,-2.345604229842057,0.0018906430035974485,1.5713698712879411,0.7796361588049227,0.007420475644210379,-0.7761597184096674,0.0035205197275303443,-2.345604229827886,0.0018906429959593559,1.5713698712814679,0.7796361588045384
1,2.2273362739997538,0.14378559180770786,0.5558429099388598,0.24378559180770787,0.003467136348879829,0,0.0005427845586149218,-0.7846869289500933,0.0004860784824335779,-2.35584290993886,0.0009922669613053004,1.5718776690740806,0.7844336808642034,0.016947896196837894,-0.7615719382952925,0.008489309337821854,-2.3306068445025936,0.006429671508238107,1.5711494584711454,0.7721458685853313,0.016948025485100906,-0.7615717448142335,0.008489395317486527,-2.3306071609615864,0.006429777402534086,1.5711495472443278,0.7721458770373602
2,3.2944858609998846,0.1422540462975457,0.5459953200147492,0.2422540462975457,0.0032288673457438657,0,0.007846204434852988,-0.7758303458661392,0.0037669648786888823,-2.345995320014749,0.0020232145532033544,1.5718785800444937,0.7793584270236851,0.04851109168771875,-0.7286726066907234,0.023707831437576165,-2.2892288653342847,0.013040959323016214,1.5745934426474648,0.7506261107120474,0.04851109289911144,-0.7286726050458314,0.02370783246890843,-2.289228867893887,0.013040960429723247,1.5745934436926181,0.750626110999727
3,4.271487130999958,0.13974758380696897,0.53088918014804,0.23974758380696898,0.0028039247150678905,0,0.017343611070788682,-0.7613750425741385,0.008719773302694661,-2.33088918014804,0.006202497529617677,1.571882824033498,0.771937165588915,0.09094870180554146,-0.6742526382679307,0.04544669672273493,-2.230508088626155,0.023157978857822788,1.577706532802307,0.7215875044567479,0.08930418266071134,-0.6767315408456528,0.044352656373124674,-2.227070404683267,0.021755989097449434,1.5765116696230264,0.721524179497364
4,5.066427783000108,0.13545330632320515,0.489611264378204,0.23545330632320516,0.0024048560702712644,0,0.04892682331826038,-0.7283272595872179,0.023904335258506073,-2.289611264378204,0.012608288080732406,1.5743420756211812,0.7503066004607014,0.14356241987164828,-0.6112329109833217,0.07177070214640428,-2.1570765315201084,0.035742755731989644,1.5812851848536738,0.6838211256406332,0.14356245697209244,-0.6112328434635562,0.07177073132285385,-2.157076659081789,0.03574279068039753,1.5812852170039247,0.6838211295002956
5,5.75748396400013,0.1307904105657778,0.4273663808733199,0.23079041056577781,0.0020957852880739017,0,0.0896610675112745,-0.6763857808676624,0.04457151467536833,-2.22736638087332,0.021428981093128498,1.5763094963286197,0.7211869445251643,0.19963992757824914,-0.542141041854864,0.09961951553725847,-2.078345406005862,0.04983883201260563,1.5847250280284253,0.6430164574189493,0.19963992757788276,-0.5421410418560021,0.09961951553701605,-2.0783454060024034,0.049838832012203536,1.5847250280280787,0.6430164574189409
6,6.337633377999737,0.1248413627551209,0.3580882604817226,0.2248413627551209,0.0017623198137679604,0,0.1433308813545164,-0.6114638812079014,0.07055695255794694,-2.1580882604817226,0.034091671971370835,1.5803543077862525,0.6841238760397853,0.2566736060022484,-0.4737049781336737,0.12849172792256164,-2.000401678331481,0.06418568690993061,1.5894531079218837,0.6016345651446745,0.2566736718782121,-0.47370439324469876,0.12849178770467679,-2.000403433592434,0.06418583911799092,1.5894532489270972,0.6016345617222073
7,6.84167194299971,0.12538559423961101,0.28614801904296994,0.22538559423961102,0.0013927636523932913,0,0.19199311469952657,-0.5494497191239468,0.093976140197857,-2.08614801904297,0.045914665327897765,1.5834330812811486,0.6497920394429343,0.3089588851442629,-0.4106823151176175,0.15348064093507893,-1.9256225657759796,0.07816859792215325,1.593177071290343,0.5653515637918886,0.30895888514453235,-0.4106823151193549,0.15348064093513203,-1.9256225657697912,0.07816859792188789,1.5931770712901248,0.5653515637919321
8,7.241278692000378,0.12987153402920296,0.21992060876095176,0.22987153402920296,0.0010869025827106977,0,0.23938654174507437,-0.4922394630546124,0.11748217528458121,-2.019920608760952,0.05754408298090987,1.58698335385856,0.6159402148682755,0.3525882068961106,-0.35813959419874725,0.17507799765789567,-1.867087892225178,0.08827121408337124,1.5957740673314165,0.5343818550584208,0.35258820689704073,-0.35813959420042313,0.1750779976582639,-1.867087892217861,0.0882712140833845,1.5957740673315026,0.5343818550585114
9,7.535780414000328,0.13635854014309048,0.16776725100132484,0.2363585401430905,0.0007036143312996359,0,0.27625231273898376,-0.44768548796597746,0.13514322946401003,-1.9677672510013249,0.06697523296752692,1.5896062095784862,0.5900485103160099,0.38320800156033974,-0.32289859597651094,0.19121380921204575,-1.8257134165268072,0.09575627087640291,1.5986598591167505,0.512139668413085,0.3832080015611446,-0.32289859597729914,0.191213809212391,-1.825713416521703,0.09575627087655698,1.5986598591169672,0.5121396684131546
10,8.788058557999648,0.14420980280979692,0.12100613650674763,0.24420980280979693,0.003819543130840858,0,0.31035576574107254,-0.40702972778205637,0.15209108893199913,-1.9210061365067477,0.07539836010535182,1.5919512890389307,0.5659637570055412,0.3054337360601203,-0.4121714224117877,0.15004987174794307,-1.9263189477248785,0.07298872658051862,1.591817826707979,0.5676779166381424,0.30933850666943424,-0.41445217094627407,0.1518527742232733,-1.914091006175985,0.07410289708401328,1.593248375957112,0.5680072929381645
11,9.886223815999983,0.16724080668357053,0.0266838516412069,0.26724080668357053,0.003566159586627579,1,0.3826461540370607,-0.3231977566413826,0.1907222149160022,-1.826683851641207,0.09498373659761784,1.5981298772552879,0.512457583036578,0.3118856060995786,-0.4041305474622638,0.15323180585147955,-1.9181397874064414,0.07447156222097179,1.5918698488162244,0.5645673568166895,0.35047900120589226,-0.40867667862474744,0.17316807755782343,-1.8258088156395251,0.08978773271620899,1.6105899442716334,0.5677539742977655
12,10.904537524999796,0.15091953990454213,0.11398720622272307,0.25091953990454213,0.0031546735996122745,0,0.31007062136004193,-0.41398720622272306,0.15257177657846901,-1.9137944114558991,0.07503478395439003,1.5939157504177488,0.5675302774738287,0.320628905770062,-0.39275571305614954,0.15908527972458122,-1.9058859601135225,0.0794010956464768,1.5926147329811269,0.5573657011055008,0.32062890575739617,-0.3927557130489495,0.15908527971857733,-1.9058859601517684,0.07940109564296695,1.5926147329758369,0.5573657011044003
