timestep,real_time,h,goal_error,dist,cost_history,conflict,t_mppi,t_cbf,t_robot,intervention_magnitude,q_0,q_1,q_2,q_3,q_4,q_5,q_6,u_mppi_0,u_mppi_1,u_mppi_2,u_mppi_3,u_mppi_4,u_mppi_5,u_mppi_6,u_safe_0,u_safe_1,u_safe_2,u_safe_3,u_safe_4,u_safe_5,u_safe_6
0,1.101474612999482,0.14401102537530083,0.5559999999999998,0.24401102537530084,0.00015355668795144126,0,1.0948614379994979,0.001750342999912391,0.0006228060001376434,3.074846425256887e-09,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785,0.007420475653201776,-0.7761597183980327,0.0035205197338201676,-2.345604229842057,0.0018906430035974485,1.5713698712879411,0.7796361588049227,0.007420476924718112,-0.7761597168949891,0.0035205206738492226,-2.3456042314271985,0.0018906441190276815,1.5713698722546896,0.7796361588655183
1,2.140241012999468,0.14253717806737518,0.5543426434033762,0.24253717806737518,0.003467136348879829,0,1.0330856249993303,0.0015116429995032377,0.0006301430003077257,8.866935809954433e-11,0.002887685312338044,-0.7812491783139199,0.0013888016499476272,-2.3543426434033763,0.0006084075654977075,1.5706977842372705,0.7828916131421267,0.016947896196837894,-0.7615719382952925,0.008489309337821854,-2.3306068445025936,0.006429671508238108,1.5711494584711454,0.7721458685853313,0.016947896162863144,-0.7615719383392242,0.00848930931399314,-2.3306068444503008,0.006429671479194956,1.5711494584460468,0.7721458685838546
2,3.0960731340001075,0.14051780774627035,0.5475072271597281,0.24051780774627035,0.0032288673457438665,0,0.9501258829996004,0.001614626000446151,0.0006145650004327763,2.449186466112346e-07,0.008415057787633984,-0.7731300495068986,0.004215536943111707,-2.347507227159728,0.0027635621375836058,1.5704053416078596,0.7771866128455864,0.04851109168771875,-0.7286726066907234,0.023707831437576165,-2.2892288653342847,0.013040959323016212,1.5745934426474648,0.7506261107120474,0.04851116355814592,-0.7286724942623016,0.02370787977075788,-2.2892290483966575,0.013041019214350703,1.574593494775776,0.7506261159440217
3,3.9368082599994523,0.13735560181169956,0.5270491518372225,0.23735560181169957,0.0028039247150678905,0,0.8348017420003089,0.001551190999634855,0.0005935330000284011,0.0009389118715020108,0.0243396169883008,-0.7550667468392962,0.011757859794476813,-2.3270491518372225,0.0066737856243451275,1.5716488010643261,0.76550266564559,0.09094870180554146,-0.6742526382679307,0.04544669672273492,-2.230508088626155,0.023157978857822784,1.577706532802307,0.7215875044567479,0.0906510637714439,-0.6747212321394881,0.04524917714109998,-2.229862319569651,0.022901324311443424,1.5774799221618885,0.7215760463308263
4,4.681067620999784,0.13238308900139337,0.4910786515623149,0.23238308900139337,0.0024048560702712623,0,0.7383665710003697,0.0015662920004615444,0.0006159189997561043,1.0681263919013357e-07,0.050499202733564896,-0.7229110491132439,0.02483456397121135,-2.291078651562315,0.012985906099584773,1.573511202843105,0.7481503992460621,0.14356241987164828,-0.6112329109833217,0.0717707021464043,-2.1570765315201084,0.03574275573198964,1.5812851848536738,0.6838211256406332,0.14356244477080737,-0.6112328646535804,0.0717707216428435,-2.1570766164826183,0.03574277917823408,1.5812852069284018,0.6838211282420966
5,5.354218755999682,0.12682651966558847,0.4408011672666332,0.22682651966558848,0.0020957852880739017,0,0.6678266709996024,0.0014805490000071586,0.0005793919999632635,4.2465442915879243e-11,0.0873688562518843,-0.6783366497061585,0.04323676607077793,-2.2408011672666333,0.021747591431695166,1.5760913488004749,0.722796155207427,0.19963992757824914,-0.542141041854864,0.09961951553725847,-2.078345406005862,0.04983883201260564,1.5847250280284253,0.6430164574189493,0.19963992757027546,-0.5421410418757062,0.09961951553188164,-2.078345405972121,0.04983883200408841,1.5847250280203393,0.6430164574187393
6,5.908500462999655,0.12255553414194678,0.3792610325151615,0.2225555341419468,0.0017623198137679617,0,0.5491606299992782,0.0015224050002871081,0.0006382440005836543,3.924473183421533e-12,0.1317973157747758,-0.6239355346542169,0.06551898857820453,-2.1792610325151616,0.03269416195075585,1.5790377264738815,0.6913960444362541,0.2566736060022484,-0.4737049781336737,0.12849172792256167,-2.000401678331481,0.06418568690993062,1.5894531079218837,0.6016345651446745,0.2566736060020673,-0.47370497813486484,0.12849172792241553,-2.000401678327776,0.06418568690961385,1.5894531079215661,0.6016345651446771
7,6.359186977999343,0.12142859238545986,0.3110823394525932,0.22142859238545987,0.001392763652393293,0,0.4454605040000388,0.0015074220000315108,0.0006475230002251919,5.447148887889031e-12,0.18124745182617394,-0.5636360835977327,0.09047993339740348,-2.1110823394525933,0.04498274861005938,1.582727598164471,0.6560500920915281,0.3089588851442629,-0.4106823151176175,0.15348064093507893,-1.9256225657759796,0.07816859792215325,1.593177071290343,0.5653515637918886,0.30895888514441344,-0.4106823151192033,0.15348064093507452,-1.9256225657707853,0.07816859792188836,1.5931770712900561,0.5653515637919189
8,6.71009322899954,0.12514947237372245,0.24014294495924893,0.22514947237372246,0.001086902582710698,0,0.34575193199998466,0.0014656650000688387,0.0006279569997786894,8.457311375095417e-12,0.23212943464901772,-0.5017723190769211,0.11564068908781416,-2.040142944959249,0.057999037908091335,1.5864860832971133,0.6217375950168434,0.3525882068961106,-0.35813959419874725,0.17507799765789567,-1.867087892225178,0.08827121408337124,1.5957740673314165,0.5343818550584208,0.35258820689716974,-0.35813959420086205,0.17507799765828866,-1.8670878922170684,0.08827121408335342,1.595774067331368,0.5343818550585238
9,6.961386193999715,0.13285519420277284,0.17366324616556317,0.23285519420277284,0.0007036143312996359,0,0.2462541759996384,0.0014090810000197962,0.0006365240005834494,5.4914523645675344e-12,0.2800631771324211,-0.44346756503515944,0.13957138917597425,-1.9736632461655632,0.0699402851150581,1.589860558563349,0.5873616354659571,0.38320800156033974,-0.32289859597651094,0.19121380921204575,-1.8257134165268072,0.09575627087640293,1.5986598591167505,0.512139668413085,0.38320800156126533,-0.32289859597736714,0.1912138092124335,-1.8257134165214848,0.09575627087660388,1.5986598591169545,0.5121396684131614
10,8.13774453499991,0.1428684671733126,0.11726197931148241,0.24286846717331262,0.003819543130840859,1,1.0883554800002457,0.0015365310000561294,0.0006288380000114557,0.07894762714241596,0.32145652458943175,-0.39378621102432654,0.16063771044660774,-1.9172619793114825,0.0800909497986402,1.5930244346777598,0.5575401381200513,0.3196083026024917,-0.3955372049352806,0.1600790406961703,-1.918063195264521,0.07838787795295339,1.5931259488569074,0.5570547548962891,0.3448607353315351,-0.40812561667726277,0.17166323503039196,-1.8462316565968522,0.08638465500450929,1.6017532932504661,0.5591117775656365
11,9.163644240999929,0.15641773137007572,0.09309161432667057,0.25641773137007573,0.0035661595866275787,0,1.0200680979996832,0.0015215269995678682,0.0006208859995240346,0.006886757626773475,0.3315470318114742,-0.39309161432667056,0.16661332679295274,-1.8923808622858367,0.08262918784416913,1.5959847884106608,0.5577366400864542,0.34803829025894606,-0.36114063916215194,0.17498579922349905,-1.8799934120519741,0.08519433153896946,1.5948825091136838,0.5383522694846254,0.3502345037381849,-0.36201065828311624,0.17604194146734398,-1.8737229722285504,0.08590093182835994,1.5958206684106264,0.5385362935017289
12,10.113519728999563,0.15586472883969574,0.08597661506885701,0.25586472883969574,0.0031546735996122745,0,0.9438724120000188,0.0015482680000786786,0.0006631109999943874,3.5090059790171165e-12,0.33917818286196694,-0.38165320378207435,0.17080202915135462,-1.885976615068857,0.08388262286628549,1.5957163060293564,0.550092441153919,0.36904982118828017,-0.33503999533608286,0.18724396673422258,-1.8504248586276302,0.09297874653051234,1.5965652937170938,0.5224711013434221,0.3690498211890423,-0.33503999533633944,0.18724396673457605,-1.8504248586242562,0.09297874653075754,1.5965652937174006,0.5224711013434821
13,10.954173139999511,0.1549465464046648,0.07407954140065165,0.2549465464046648,0.0027721643807671476,0,0.8347937930002445,0.0014542079998136614,0.0006556979997185408,1.1680709913350284e-06,0.35087375677379484,-0.36140319597487675,0.17735185845972543,-1.8740795414006517,0.0873756041543544,1.5956358346243595,0.5390581018696052,0.38471831442667037,-0.3167027430969655,0.19305873920813646,-1.8275789678964924,0.09622566109827908,1.5997013538209068,0.5113885476184913,0.3847180561731238,-0.3167026736756579,0.19305862025729242,-1.8275800905387598,0.0962255734076167,1.5997012522050416,0.5113885279912547
14,11.695771982999759,0.1569243838949584,0.05805831846575171,0.2569243838949584,0.002514114592521587,0,0.7352912129999822,0.001535338000394404,0.0006414790004782844,1.0868198091405171e-06,0.3642769889863034,-0.34199677229899156,0.18383941291736777,-1.8580583184657518,0.09073843520449344,1.5968285435653033,0.5280571393017868,0.39535507533342146,-0.3059617725767161,0.19926058317906517,-1.813557485162161,0.09903249506313865,1.5982422386188366,0.5036047109221786,0.3953548184768559,-0.30596172084126366,0.1992604630902615,-1.8135585236713576,0.09903240328516723,1.5982421346687667,0.5036046915841361
15,12.340653147999546,0.16008795180608168,0.042993620843090774,0.2600879518060817,0.002160538059377068,0,0.6396505650000108,0.0015208550003080745,0.0006252969997149194,2.8722966580190417e-12,0.37663104890396637,-0.32598085619019396,0.190265535543688,-1.8429936208430908,0.09389393040205515,1.5969194443463692,0.5183440524748869,0.4009916905810043,-0.29841887022520874,0.2020164147530633,-1.8042082046246573,0.10114493901826223,1.5998645325397804,0.5007515027338468,0.40099169058174794,-0.2984188702253173,0.20201641475341942,-1.8042082046219405,0.10114493901854132,1.5998645325400918,0.500751502733903
16,12.88902609500019,0.163238607096476,0.03013633329257348,0.263238607096476,0.001760851219777192,0,0.5431554589995358,0.001446190999558894,0.0006403550005416037,9.173249787795664e-07,0.3863955498257936,-0.31336058471354045,0.19534199083264606,-1.8301363332925735,0.09665104336314095,1.5976116886935945,0.5113731800757159,0.4048043849867182,-0.29509797863935083,0.2011136860243302,-1.7983727519211197,0.09990388919768621,1.5993943899812972,0.49726603769475897,0.4048041545961898,-0.2950979553741198,0.2011135749915599,-1.7983736224419222,0.09990380124688449,1.599394291496484,0.49726602052780183
17,13.340383570000085,0.16581083693616314,0.02005029410871706,0.26581083693616314,0.0013839041224545114,0,0.4462198930004888,0.0015182019997155294,0.000657786999909149,2.4954594196378288e-12,0.39380854976352275,-0.3044063711342505,0.1980612064001879,-1.820050294108717,0.09783507291914754,1.5978509633741729,0.5057869655815921,0.40302832772287844,-0.2942160596057732,0.20443632094808076,-1.79690426254187,0.09947927117953775,1.601086976016551,0.4961288501489647,0.40302832772354064,-0.29421605960582137,0.20443632094840716,-1.7969042625395197,0.09947927117979723,1.6010869760168442,0.49612885014901453
18,13.68992692699976,0.16767337752089465,0.013341139612279118,0.26767337752089465,0.001054062504431526,0,0.3444099970001844,0.0014181090000420227,0.0006538960005855188,2.189095316663918e-12,0.3975414445963101,-0.2986780593358371,0.20093022294343732,-1.8133411396122792,0.09836993458030531,1.5986625978821773,0.5019584086375546,0.4035861923730071,-0.296608156642619,0.20171304974397608,-1.7959304820215984,0.10062579560388647,1.6007520017605392,0.4970861261530532,0.4035861923735629,-0.2966081566426483,0.20171304974425006,-1.7959304820195257,0.10062579560410359,1.6007520017607881,0.4970861261530948
19,13.941724763999446,0.16916232376701804,0.00894234946154615,0.26916232376701804,0.0006995918360268973,0,0.2465986030001659,0.0014886430008118623,0.0006558059994858922,2.4013919990465238e-12,0.40001296243638035,-0.29612975254337714,0.20160412423271998,-1.8089423494615462,0.09913773797868691,1.5990172515830439,0.500021395690096,0.4025530319277619,-0.2980100641680524,0.20100787111795834,-1.7983202831296181,0.09987242738961206,1.5995832587299514,0.49896208498533706,0.4025530319284079,-0.2980100641680803,0.20100787111828253,-1.7983202831273628,0.0998724273898689,1.5995832587302492,0.49896208498538613
