global_t,cycle,k,h0,goal_error,dist,cbf_active,intervention_magnitude,t_mppi_s,t_qp_s
0,0,0,0.1104377721158643,0.5559743340140895,0.1604377721158643,False,9.951139781323018e-07,3.343630790710449,0.001878499984741211
1,0,1,0.11037265016210406,0.5559529194617541,0.16037265016210406,True,1.3358042505130567e-06,3.459756374359131,0.0016524791717529297
2,0,2,0.11030625351099009,0.5556797900149728,0.1603062535109901,True,1.0545855240833572e-06,3.3249752521514893,0.0015087127685546875
3,0,3,0.11054998720492458,0.5531458313836712,0.16054998720492458,True,1.1232030234284966e-06,3.2056334018707275,0.0015397071838378906
4,0,4,0.10968439487078617,0.5497688621486396,0.15968439487078617,False,6.73014275443407e-12,3.125962018966675,0.0015833377838134766
5,0,5,0.10975442748442564,0.5411920682024951,0.15975442748442564,False,4.047783404887956e-09,2.973022222518921,0.001542806625366211
6,0,6,0.1101282542169331,0.5285531336476461,0.1601282542169331,False,7.928866706299075e-11,2.8558309078216553,0.0014503002166748047
7,0,7,0.11014172701840945,0.5157619184795037,0.16014172701840945,False,6.666986714233317e-12,2.770216464996338,0.0014998912811279297
8,0,8,0.11176513167953343,0.4981147882081729,0.16176513167953344,False,7.496219921895381e-12,2.645134449005127,0.0014958381652832031
9,0,9,0.11235256440386886,0.47964078449469283,0.16235256440386886,False,4.689904574093192e-12,2.5203723907470703,0.0015451908111572266
10,0,10,0.11419413424483303,0.45823957993069775,0.16419413424483303,True,1.825141104978905e-06,2.4419498443603516,0.0016295909881591797
11,0,11,0.1161094416974938,0.4360620061839626,0.1661094416974938,True,1.6634714510261472e-06,2.2859232425689697,0.001524209976196289
12,0,12,0.11925000024159503,0.41231461313496154,0.16925000024159503,False,5.086996970375033e-12,2.192706346511841,0.0015964508056640625
13,0,13,0.12200421832237461,0.38729726804500264,0.1720042183223746,True,2.1599898462921237e-06,2.059173345565796,0.0015292167663574219
14,0,14,0.12703603831138754,0.36115402821504206,0.17703603831138753,False,7.870207890044342e-12,2.00278902053833,0.00159454345703125
15,0,15,0.13237124370404185,0.33396067772000326,0.18237124370404184,False,1.0362757457096735e-11,1.8414733409881592,0.0015697479248046875
16,0,16,0.13916312678992682,0.30582762432002375,0.1891631267899268,False,7.41466756371836e-12,1.7216897010803223,0.0015475749969482422
17,0,17,0.1464759924445606,0.27782756683676246,0.1964759924445606,True,1.9512958845041982e-06,1.58359956741333,0.001489877700805664
18,0,18,0.15398202871506605,0.24961883941287177,0.20398202871506604,False,4.479748470152236e-12,1.4992778301239014,0.001676797866821289
19,0,19,0.16134671052439603,0.22328417947714985,0.21134671052439602,True,1.2974731083707988e-06,1.3993475437164307,0.0015513896942138672
20,0,20,0.17054022998512364,0.19591445880831082,0.22054022998512363,True,1.077556163843466e-06,1.2627902030944824,0.0015490055084228516
21,0,21,0.17871535739269773,0.1702931738800868,0.22871535739269772,False,2.551927738765874e-12,1.1647934913635254,0.0015306472778320312
22,0,22,0.18875969044958024,0.14427554502800866,0.23875969044958023,False,2.264590378029106e-12,1.039306640625,0.0015435218811035156
23,0,23,0.19757389910016154,0.12094587015755853,0.24757389910016153,False,2.0833021637856603e-12,0.9265391826629639,0.0015125274658203125
24,0,24,0.20636946299118963,0.09860663354022425,0.2563694629911896,False,1.9532652995642292e-12,0.8034489154815674,0.0015864372253417969
25,0,25,0.21597698662546466,0.07680411252199582,0.26597698662546465,False,1.8423347638356647e-12,0.6880817413330078,0.0011103153228759766
26,0,26,0.22248392246721865,0.05922985050945151,0.27248392246721864,False,1.7363294766331623e-12,0.5570526123046875,0.001134634017944336
27,0,27,0.2300900325083629,0.04174674390999811,0.2800900325083629,False,1.6366302552077347e-12,0.4530184268951416,0.0015821456909179688
28,0,28,0.23637013295010478,0.028200220741630977,0.28637013295010477,False,5.592453273360662e-07,0.3632056713104248,0.0012128353118896484
29,0,29,0.24113421837910382,0.016360259881299077,0.2911342183791038,False,5.385987319470403e-07,0.23464560508728027,0.0011096000671386719
30,1,0,0.2465313234044333,0.0029698932724708804,0.2965313234044333,False,1.0368787234230651e-11,3.450971841812134,0.0015387535095214844
31,1,1,0.24656833008670098,0.0028503610745249652,0.29656833008670097,False,1.7635416645241105e-12,3.369316339492798,0.0015385150909423828
32,1,2,0.24509354159405722,0.0069750184510875,0.2950935415940572,False,1.5960072165608629e-12,3.317497730255127,0.0015218257904052734
33,1,3,0.24529186445399914,0.006815079983431449,0.29529186445399913,False,1.6058627799505927e-12,3.010183811187744,0.0014965534210205078
34,1,4,0.24569300226399327,0.005569025956806417,0.29569300226399325,False,1.590152959019068e-12,3.0699424743652344,0.0015954971313476562
35,1,5,0.24595454550009926,0.004418054520836101,0.29595454550009925,False,5.317838443668042e-07,2.910754680633545,0.0015642642974853516
36,1,6,0.24693231137241678,0.0039256854188935986,0.29693231137241677,False,5.321894810098949e-07,2.860548257827759,0.0016450881958007812
37,1,7,0.24632840600578199,0.004324834918713716,0.296328406005782,False,1.5664571577225674e-12,2.739048480987549,0.0015196800231933594
38,1,8,0.2458485569006733,0.0039560361689341406,0.2958485569006733,False,1.573003863995871e-12,2.638925552368164,0.0014998912811279297
39,1,9,0.2462482740698398,0.002930765651273759,0.2962482740698398,False,1.573533210667348e-12,2.482910394668579,0.0015490055084228516
40,1,10,0.24689558822355606,0.0026184945085538924,0.29689558822355605,False,1.5587085095022135e-12,2.3998935222625732,0.0015480518341064453
41,1,11,0.24682739128784742,0.0019385051057826397,0.2968273912878474,False,5.315839954523117e-07,2.3214080333709717,0.001567840576171875
42,1,12,0.24703078856478394,0.0023010391054751334,0.29703078856478393,False,1.5760440830703201e-12,2.1261744499206543,0.0014240741729736328
43,1,13,0.24743783116033707,0.0020486234684293503,0.29743783116033706,False,1.542330474178232e-12,2.0640194416046143,0.0016198158264160156
44,1,14,0.24773122010844933,0.001600647635776234,0.2977312201084493,False,1.571509307767331e-12,1.9246461391448975,0.0015711784362792969
45,1,15,0.24793808444258292,0.001166274006719828,0.2979380844425829,False,5.298630025367577e-07,1.80411958694458,0.0016164779663085938
46,1,16,0.24838528664885767,0.0011776600007529087,0.29838528664885766,False,5.228348724176571e-07,1.6806843280792236,0.0014562606811523438
47,1,17,0.24751940129515332,0.0011925645526121853,0.2975194012951533,False,1.5239468032494281e-12,1.563676357269287,0.0017158985137939453
48,1,18,0.24759662561533896,0.0012893229101784698,0.29759662561533895,False,5.257431272122677e-07,1.4718258380889893,0.001500844955444336
49,1,19,0.24825537058537983,0.0014590996492875874,0.2982553705853798,False,5.278601560450098e-07,1.3487112522125244,0.0015101432800292969
50,1,20,0.24736952868491213,0.0013659849906171861,0.2973695286849121,False,5.278780211096136e-07,1.2420954704284668,0.001584768295288086
51,1,21,0.24742669061617723,0.0014003977482920094,0.2974266906161772,False,1.5702349655838146e-12,1.1363983154296875,0.001542806625366211
